Program,Gene,Gene_display,Loading,Abs_loading
Program6,N900_RS08870,phosphatase,-4.25514030456543,4.25514030456543
Program6,N900_RS07090,VC_1443,-4.211084842681885,4.211084842681885
Program6,N900_RS10235,dpiA,-4.208664417266846,4.208664417266846
Program6,N900_RS06615,VC_1539_BLAST,-4.193057537078857,4.193057537078857
Program6,N900_RS04030,ferrous iron transport protein A,-4.187515735626221,4.187515735626221
Program6,N900_RS10940,AraC family transcriptional regulator_3,-4.186467170715332,4.186467170715332
Program6,N900_RS01990,hepA,-4.180744171142578,4.180744171142578
Program6,N900_RS16230,cqsA,-4.177326679229736,4.177326679229736
Program6,N900_RS11300,mobI,-4.171928882598877,4.171928882598877
Program6,N900_RS02555,mutT,-4.157323837280273,4.157323837280273
Program6,N900_RS14860,pepT,-4.123602390289307,4.123602390289307
Program6,N900_RS06660,VC_1529,-4.112610340118408,4.112610340118408
Program6,N900_RS01895,calcium/sodium antiporter,-4.1120500564575195,4.1120500564575195
Program6,N900_RS05670,yciN,-4.10194730758667,4.10194730758667
Program6,N900_RS10635,raiA,-4.09360933303833,4.09360933303833
Program6,N900_RS16535,yejF,-4.093583583831787,4.093583583831787
Program6,N900_RS18420,ATP-dependent helicase_2,-4.09213399887085,4.09213399887085
Program6,N900_RS18830,transglutaminase-like cysteine peptidase,-4.069437503814697,4.069437503814697
Program6,N900_RS08200,nucleotidyltransferase,-4.043056488037109,4.043056488037109
Program6,N900_RS02805,AMP-binding protein,-4.023920059204102,4.023920059204102
Program7,N900_RS11295,umuC,2.3378710746765137,2.3378710746765137
Program7,N900_RS17405,pctC_3,2.268322706222534,2.268322706222534
Program7,N900_RS15140,ulaE,2.241342544555664,2.241342544555664
Program7,N900_RS16660,moeA,2.194579839706421,2.194579839706421
Program7,N900_RS18705,VC_A1052,2.1578783988952637,2.1578783988952637
Program7,N900_RS00265,hemF,2.1299610137939453,2.1299610137939453
Program7,N900_RS10925,luxP,2.07509446144104,2.07509446144104
Program7,N900_RS07080,rcsC_3,2.072171688079834,2.072171688079834
Program7,N900_RS14620,rbsA,2.069000720977783,2.069000720977783
Program7,N900_RS15400,ygfF,2.060386896133423,2.060386896133423
Program7,N900_RS03390,ompA_1,2.042043924331665,2.042043924331665
Program7,N900_RS11605,amtB,2.001312017440796,2.001312017440796
Program7,N900_RS12140,DeoR/GlpR transcriptional regulator,1.99338960647583,1.99338960647583
Program7,N900_RS00180,yihD,-1.9532877206802368,1.9532877206802368
Program7,N900_RS10165,Ferredoxin 1_BLAST,1.9298816919326784,1.9298816919326784
Program7,N900_RS04240,nhaC,1.9145498275756836,1.9145498275756836
Program7,N900_RS11150,abortive infection protein,1.8946458101272583,1.8946458101272583
Program7,N900_RS04735,ydiU_BLAST,1.878836154937744,1.878836154937744
Program7,N900_RS17760,sensor histidine kinase_6,1.8665838241577148,1.8665838241577148
Program7,N900_RS05315,VC_1806,1.8550337553024292,1.8550337553024292
Program7,N900_RS03695,ArsC family reductase,1.85411536693573,1.85411536693573
Program7,N900_RS05415,radC_2,1.8312695026397705,1.8312695026397705
Program7,N900_RS16405,VC_A0561,1.8257932662963867,1.8257932662963867
Program7,N900_RS08235,hutU,1.8249125480651855,1.8249125480651855
Program7,N900_RS11695,can,1.818777322769165,1.818777322769165
Program7,N900_RS01745,ABC transporter permease_2,1.7910696268081665,1.7910696268081665
Program7,N900_RS14190,"phosphatidylglycerophosphatase B, putative",1.7794146537780762,1.7794146537780762
Program7,N900_RS03260,cytochrome c_2,1.772412657737732,1.772412657737732
Program7,N900_RS05455,siaQ,1.770293951034546,1.770293951034546
Program7,N900_RS02650,gltD_2,1.7652710676193235,1.7652710676193235
Program7,N900_RS09795,VC_0881_BLAST,1.7642005681991575,1.7642005681991575
Program7,N900_RS06730,molecular chaperone,1.763632893562317,1.763632893562317
Program7,N900_RS16715,abrb,1.762370467185974,1.762370467185974
Program7,N900_RS13265,peptidase_3,1.75567889213562,1.75567889213562
Program7,N900_RS08010,VC_1250,1.751703143119812,1.751703143119812
Program7,N900_RS12840,fkpA,-1.7387946844100952,1.7387946844100952
Program7,N900_RS06805,ABC transporter ATP-binding protein_2,1.7294152975082395,1.7294152975082395
Program7,N900_RS03680,VC_2154,1.728063941001892,1.728063941001892
