Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
CPVAE,N900_RS00520,glpE,2.944796323776245,2.3821961879730225,0.6664507389068604,-2.0558581352233887,-0.7655133008956909,1.6792881488800049,0.831889808177948,0.670874297618866,0.17198755000000002,-1.8139,3.3697,6h_ce,6h,ce,3h_SI3,3h,SI3,5.1836
CPVAE,N900_RS00525,VC_0101,-1.0770682096481323,1.8812198638916016,-1.46138334274292,-3.899126291275024,-2.546231985092163,-0.6038627624511719,-0.0835930928587913,1.24497652053833,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833
CPVAE,N900_RS00530,tatd,-2.370426893234253,0.0068306028842926,0.4403982162475586,-2.576389789581299,0.569451093673706,-0.3951989412307739,-0.0366956889629364,-0.943910539150238,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255
CPVAE,N900_RS00540,ypeA_1,2.8231139183044434,2.3472697734832764,-3.850217342376709,-1.9214565753936768,-0.5707494020462036,-3.60455322265625,1.5099072456359863,0.9727181196212769,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311
CPVAE,N900_RS00555,cc4,1.473902463912964,2.893003463745117,-1.1755977869033811,-0.8355706930160522,-0.7020386457443237,-0.5201695561408997,1.1743292808532717,1.873153567314148,1.3794895216666665,-0.6652,6.5821,1h_SI5,1h,SI5,6h_SI4,6h,SI4,7.247299999999999
CPVAE,N900_RS00560,class I SAM-dependent methyltransferase_4,4.988767623901367,3.6000916957855225,-1.115605711936951,-1.0848661661148071,-0.3911482989788055,-2.1931729316711426,0.1998084485530853,0.7862948775291443,1.0447400999999998,-0.16738,3.3627,24h_SI9,24h,SI9,3h_SI2,3h,SI2,3.53008
CPVAE,N900_RS00565,yihI,2.2996838092803955,2.6372623443603516,0.1773587465286255,-0.3879149258136749,-0.0816403180360794,0.7385658025741577,0.0035074800252914,2.174187183380127,1.6190095500000004,-0.56646,5.6083,1h_SI2,1h,SI2,1h_SI1,1h,SI1,6.17476
CPVAE,N900_RS00570,VC_0115,3.679535388946533,0.6015378832817078,1.932727575302124,-1.1633623838424685,-1.5797700881958008,0.2944292724132538,-0.9003124833106995,0.0154764354228973,0.9985721499999999,-1.6564,6.8361,6h_SI5,6h,SI5,3h_st,3h,st,8.4925
CPVAE,N900_RS00575,hemN,1.749184489250183,2.8425936698913574,-2.0951807498931885,1.379180669784546,-0.2165688872337341,-2.3733363151550293,0.7918180227279663,0.7169502973556519,2.4805226666666664,0.23374,6.1352,1h_SI1,1h,SI1,6h_ce,6h,ce,5.90146
CPVAE,N900_RS00580,hemy,-1.4263731241226196,1.3045158386230469,-0.5738614797592163,-1.6318209171295166,-0.9645637273788452,-0.5583336353302002,0.4157721698284149,0.640968918800354,-0.1706919166666667,-1.6451,2.7528,12h_SI1,12h,SI1,3h_SI6,3h,SI6,4.3979
CPVAE,N900_RS00585,HemX,1.9652166366577148,1.5709919929504397,-1.669371247291565,-0.5397722125053406,-1.4059277772903442,-2.63466739654541,0.2188654243946075,0.0520430468022823,0.8413051166666666,-1.4146,4.5733,6h_SI1,6h,SI1,1h_st,1h,st,5.9879
CPVAE,N900_RS00600,VC_0121,-0.2805813550949096,1.200197458267212,-0.8601059317588806,-1.9072651863098145,-0.1525517553091049,-1.231469750404358,0.1766957938671112,0.6407694220542908,0.11754571833333329,-2.9929,4.2155,12h_SI5,12h,SI5,1h_SI1,1h,SI1,7.208399999999999
CPVAE,N900_RS00605,class I adenylate cyclase,6.15794563293457,1.2925773859024048,0.4688487350940704,0.3631682991981506,0.3738332390785217,-0.0668436214327812,-0.0712103694677352,-0.4440295994281769,0.983545725,-0.84265,2.9777,6h_SI9,6h,SI9,12h_st,12h,st,3.82035
CPVAE,N900_RS00610,cyaY,6.173760890960693,1.5797277688980105,0.0627357885241508,-0.1810638904571533,0.2913418710231781,-0.481045514345169,0.1008882150053978,-0.2344824373722076,-0.07653811666666667,-2.1613,2.7422,12h_ce,12h,ce,12h_SI3,12h,SI3,4.9035
