VAE1,VAE2,VAE3,VAE4,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,VAE_reconstruction_MSE,VAE_cluster
-0.09229267,1.106146,0.7114434,-1.3859361,N900_RS00780,RNA-binding protein,0.9666030216666668,-0.8883,4.0206,12h_SI1,12h,SI1,3h_st,3h,st,4.9089,0.4283879301242367,4
-0.042976707,-0.5992157,-0.110930786,-0.34350246,N900_RS00810,add,0.6931469433333333,-0.74171,4.4996,1h_SI1,1h,SI1,3h_SI1,3h,SI1,5.24131,0.6497650422498071,1
-0.142307,-0.9785541,0.5124714,-0.0017228127,N900_RS00815,N900_RS00815,1.4899632666666662,-0.048524,4.7778,1h_st,1h,st,3h_SI2,3h,SI2,4.826324,0.3221181842063951,1
0.12589227,0.09363071,-0.60322016,-1.9534633,N900_RS00820,ntrC,1.3368653666666666,-0.52513,4.7884,1h_SI8,1h,SI8,1h_co,1h,co,5.31353,0.7052884403993878,5
-0.67221916,-1.0929044,0.676538,0.21369977,N900_RS00825,ntrB,0.7965356883333333,-0.76746,3.5315,3h_SI4,3h,SI4,6h_st,6h,st,4.29896,0.2958756832359283,1
0.60248625,1.0010318,0.60066634,-0.41585904,N900_RS00830,N900_RS00830,0.5607836883333334,-0.8329,3.6627,3h_SI1,3h,SI1,3h_SI3,3h,SI3,4.4956,0.4429373525608175,4
0.56831783,1.1826633,-0.5633889,2.1623392,N900_RS00835,glnA,0.8209512333333334,-2.1525,4.3908,12h_ce,12h,ce,1h_ce,1h,ce,6.5432999999999995,0.488800528258015,0
-0.10755493,-1.3455276,-0.13581552,-1.1580076,N900_RS00840,N900_RS00840,1.4161308683333331,-0.877,5.6434,1h_co,1h,co,3h_SI1,3h,SI1,6.5203999999999995,0.6792720937986414,1
1.0835379,-0.82991064,0.8634317,-0.48634368,N900_RS00845,typA,0.78737738,-0.89425,3.5806,1h_st,1h,st,3h_SI3,3h,SI3,4.47485,0.1987353808690521,2
-0.23052834,-1.649813,0.3112736,-0.3454942,N900_RS00850,ATPase,1.2699065,-0.42999,4.2667,6h_SI3,6h,SI3,3h_SI4,3h,SI4,4.69669,0.5493786039094924,1
