Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
mrcB ponB VC_0602	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0009274; GO:0030288; GO:0046677; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]
VC_0456	GO:0000166; GO:0005737; GO:0005829; GO:0009117; GO:0009143; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872; GO:0047429	nucleoside triphosphate catabolic process [GO:0009143]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleoside triphosphate diphosphatase activity [GO:0047429]; nucleotide binding [GO:0000166]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; XTP diphosphatase activity [GO:0036222]
alr1 VC_0372	GO:0005829; GO:0008784; GO:0030170; GO:0030378; GO:0030632	D-alanine biosynthetic process [GO:0030632]	cytosol [GO:0005829]	alanine racemase activity [GO:0008784]; pyridoxal phosphate binding [GO:0030170]; serine racemase activity [GO:0030378]
nudC VC_0331	GO:0000210; GO:0000287; GO:0006734; GO:0006742; GO:0008270; GO:0019677; GO:0030145; GO:0035529; GO:0110153	NAD catabolic process [GO:0019677]; NADH metabolic process [GO:0006734]; NADP catabolic process [GO:0006742]		magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; NAD+ diphosphatase activity [GO:0000210]; NADH pyrophosphatase activity [GO:0035529]; RNA NAD-cap (NMN-forming) hydrolase activity [GO:0110153]; zinc ion binding [GO:0008270]
mutM fpg VC_0221	GO:0003684; GO:0003906; GO:0006284; GO:0008270; GO:0034039; GO:0140078	base-excision repair [GO:0006284]		8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; zinc ion binding [GO:0008270]
coaBC VC_0215	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0046872; GO:0071513	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]
murQ1 VC_0206	GO:0009254; GO:0016803; GO:0016835; GO:0046348; GO:0097173; GO:0097175; GO:0097367	1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar catabolic process [GO:0046348]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]		carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; ether hydrolase activity [GO:0016803]
lexA VC_0092	GO:0000976; GO:0001217; GO:0004252; GO:0006260; GO:0006281; GO:0006508; GO:0009432; GO:0032993; GO:0043565; GO:0045892	DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; SOS response [GO:0009432]	protein-DNA complex [GO:0032993]	DNA-binding transcription repressor activity [GO:0001217]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; transcription cis-regulatory region binding [GO:0000976]
aroE VC_0056	GO:0004764; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0019632; GO:0050661	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632]	cytosol [GO:0005829]	NADP binding [GO:0050661]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]
nqrF VC_2290	GO:0005886; GO:0006814; GO:0009055; GO:0016655; GO:0046872; GO:0051537	sodium ion transport [GO:0006814]	plasma membrane [GO:0005886]	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]
murE VC_2406	GO:0000287; GO:0005524; GO:0005737; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]
murJ mviN VC_0680	GO:0005886; GO:0008360; GO:0009252; GO:0015648; GO:0015836; GO:0034204; GO:0071555	cell wall organization [GO:0071555]; lipid translocation [GO:0034204]; lipid-linked peptidoglycan transport [GO:0015836]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	plasma membrane [GO:0005886]	lipid-linked peptidoglycan transporter activity [GO:0015648]
dnaK VC_0855	GO:0005524; GO:0005829; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0140662	chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]	cytosol [GO:0005829]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]
dnaJ VC_0856	GO:0005524; GO:0005737; GO:0006260; GO:0008270; GO:0009408; GO:0031072; GO:0042026; GO:0051082; GO:0051085	chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein refolding [GO:0042026]; response to heat [GO:0009408]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]
rpoS VC_0534	GO:0003677; GO:0005737; GO:0006352; GO:0016987	DNA-templated transcription initiation [GO:0006352]	cytoplasm [GO:0005737]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]
tonB VC_A0910	GO:0015031; GO:0015891; GO:0030288; GO:0031992; GO:0055085; GO:0098797	protein transport [GO:0015031]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane protein complex [GO:0098797]	energy transducer activity [GO:0031992]
thyA VC_0675	GO:0004799; GO:0005829; GO:0006231; GO:0006235; GO:0032259	dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259]	cytosol [GO:0005829]	thymidylate synthase activity [GO:0004799]
epd VC_0476	GO:0004365; GO:0005829; GO:0006006; GO:0008615; GO:0042823; GO:0048001; GO:0051287	glucose metabolic process [GO:0006006]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	cytosol [GO:0005829]	erythrose-4-phosphate dehydrogenase activity [GO:0048001]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]
flaA VC_2188	GO:0005198; GO:0005576; GO:0009288		bacterial-type flagellum [GO:0009288]; extracellular region [GO:0005576]	structural molecule activity [GO:0005198]
flaD VC_2143	GO:0005198; GO:0005576; GO:0009288		bacterial-type flagellum [GO:0009288]; extracellular region [GO:0005576]	structural molecule activity [GO:0005198]
flaE VC_2144	GO:0005198; GO:0005576; GO:0009288		bacterial-type flagellum [GO:0009288]; extracellular region [GO:0005576]	structural molecule activity [GO:0005198]
cueR vvgR VC_0974	GO:0003677; GO:0003700; GO:0005507; GO:0005737; GO:0045893	positive regulation of DNA-templated transcription [GO:0045893]	cytoplasm [GO:0005737]	copper ion binding [GO:0005507]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
vibB VC_0771	GO:0008908; GO:0019537	vibriobactin biosynthetic process [GO:0019537]		isochorismatase activity [GO:0008908]
tcpN toxT VC_0838	GO:0003700; GO:0005737; GO:0042802; GO:0043565		cytoplasm [GO:0005737]	DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; sequence-specific DNA binding [GO:0043565]
aldA VC_0819	GO:0004029; GO:0006068	ethanol catabolic process [GO:0006068]		aldehyde dehydrogenase (NAD+) activity [GO:0004029]
tcpJ VC_0839	GO:0004190; GO:0005886; GO:0006465; GO:0008168; GO:0032259; GO:0046872	methylation [GO:0032259]; signal peptide processing [GO:0006465]	plasma membrane [GO:0005886]	aspartic-type endopeptidase activity [GO:0004190]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]
nqrC VC_2293	GO:0005886; GO:0006814; GO:0010181; GO:0016655	sodium ion transport [GO:0006814]	plasma membrane [GO:0005886]	FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]
pepA VC_2501	GO:0004177; GO:0005737; GO:0006508; GO:0030145; GO:0070006	proteolysis [GO:0006508]	cytoplasm [GO:0005737]	aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]
tpx tagD VC_0824	GO:0008379			thioredoxin peroxidase activity [GO:0008379]
gltX VC_2214	GO:0000049; GO:0004818; GO:0005524; GO:0005829; GO:0006424; GO:0008270	glutamyl-tRNA aminoacylation [GO:0006424]	cytosol [GO:0005829]	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]
viuB VC_2210	GO:0005737; GO:0010106; GO:0015891; GO:0019536; GO:0033212; GO:0052851; GO:0071949; GO:0140618	cellular response to iron ion starvation [GO:0010106]; iron import into cell [GO:0033212]; siderophore transport [GO:0015891]; vibriobactin metabolic process [GO:0019536]	cytoplasm [GO:0005737]	FAD binding [GO:0071949]; ferric-chelate reductase (NADH) activity [GO:0140618]; ferric-chelate reductase (NADPH) activity [GO:0052851]
pgk VC_0477	GO:0004618; GO:0005524; GO:0005829; GO:0006094; GO:0006096; GO:0043531	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	cytosol [GO:0005829]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]
tagA VC_0820	GO:0004222; GO:0005886; GO:0006508; GO:0046872	proteolysis [GO:0006508]	plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
dam VC_2626	GO:0006260; GO:0006298; GO:0009007; GO:0009307; GO:0032259; GO:0043565; GO:1904047	DNA replication [GO:0006260]; DNA restriction-modification system [GO:0009307]; methylation [GO:0032259]; mismatch repair [GO:0006298]		S-adenosyl-L-methionine binding [GO:1904047]; sequence-specific DNA binding [GO:0043565]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]
viuA VC_2211	GO:0009279; GO:0015092; GO:0015343; GO:0015344; GO:0033214; GO:0034755; GO:0038023; GO:0044718	iron ion transmembrane transport [GO:0034755]; siderophore transmembrane transport [GO:0044718]; siderophore-dependent iron import into cell [GO:0033214]	cell outer membrane [GO:0009279]	high-affinity ferric iron transmembrane transporter activity [GO:0015092]; siderophore uptake transmembrane transporter activity [GO:0015344]; siderophore-iron transmembrane transporter activity [GO:0015343]; signaling receptor activity [GO:0038023]
toxR VC_0984	GO:0000156; GO:0003677; GO:0005886; GO:0006355	regulation of DNA-templated transcription [GO:0006355]	plasma membrane [GO:0005886]	DNA binding [GO:0003677]; phosphorelay response regulator activity [GO:0000156]
htpG VC_0985	GO:0005524; GO:0005829; GO:0006457; GO:0006974; GO:0009408; GO:0016887; GO:0051082; GO:0140662	DNA damage response [GO:0006974]; protein folding [GO:0006457]; response to heat [GO:0009408]	cytosol [GO:0005829]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]
hap VC_A0865	GO:0004222; GO:0005576; GO:0006508; GO:0046872	proteolysis [GO:0006508]	extracellular region [GO:0005576]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
tcpT VC_0835	GO:0005524; GO:0005737; GO:0005886; GO:0015031; GO:0016887	protein transport [GO:0015031]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
tcpP VC_0826	GO:0000160; GO:0003677; GO:0005886; GO:0045893	phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription [GO:0045893]	plasma membrane [GO:0005886]	DNA binding [GO:0003677]
dsbA tpcG VC_0034	GO:0003756; GO:0015035; GO:0030288; GO:0071236	cellular response to antibiotic [GO:0071236]	outer membrane-bounded periplasmic space [GO:0030288]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]
recA VC_0543	GO:0003684; GO:0003697; GO:0005524; GO:0005737; GO:0006281; GO:0006310; GO:0009432; GO:0016887; GO:0140664	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]
epsH VC_2729	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	
epsI VC_2728	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	
epsJ VC_2727	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	
epsC VC_2734	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	
epsF VC_2731	GO:0005886; GO:0015627; GO:0015628; GO:0046872	protein secretion by the type II secretion system [GO:0015628]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	metal ion binding [GO:0046872]
epsK VC_2726	GO:0005886; GO:0009306	protein secretion [GO:0009306]	plasma membrane [GO:0005886]	
epsL VC_2725	GO:0005886; GO:0009276; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]	Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	
sthA udhA VC_0151	GO:0003957; GO:0004148; GO:0005829; GO:0006090; GO:0006103; GO:0006739; GO:0050660	2-oxoglutarate metabolic process [GO:0006103]; NADP metabolic process [GO:0006739]; pyruvate metabolic process [GO:0006090]	cytosol [GO:0005829]	dihydrolipoyl dehydrogenase (NADH) activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; NAD(P)+ transhydrogenase (Si-specific) activity [GO:0003957]
rnhB VC_2246	GO:0003723; GO:0004523; GO:0005737; GO:0006298; GO:0030145; GO:0032299; GO:0043137	DNA replication, removal of RNA primer [GO:0043137]; mismatch repair [GO:0006298]	cytoplasm [GO:0005737]; ribonuclease H2 complex [GO:0032299]	manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
lolD VC_1883	GO:0005524; GO:0005886; GO:0016887; GO:0022857; GO:0044874; GO:0055085; GO:0089705	lipoprotein localization to outer membrane [GO:0044874]; protein localization to outer membrane [GO:0089705]; transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]
rfbB VC_0242	GO:0000287; GO:0004615; GO:0005886; GO:0009243; GO:0009298	GDP-mannose biosynthetic process [GO:0009298]; O antigen biosynthetic process [GO:0009243]	plasma membrane [GO:0005886]	magnesium ion binding [GO:0000287]; phosphomannomutase activity [GO:0004615]
blc vlp vlpA VC_A0317	GO:0006950; GO:0008289; GO:0009279	response to stress [GO:0006950]	cell outer membrane [GO:0009279]	lipid binding [GO:0008289]
vibA VC_0774	GO:0008667; GO:0016616; GO:0019290; GO:0019537	siderophore biosynthetic process [GO:0019290]; vibriobactin biosynthetic process [GO:0019537]		2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity [GO:0008667]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]
alaS VC_0545	GO:0000049; GO:0002161; GO:0004813; GO:0005524; GO:0005829; GO:0006419; GO:0008270; GO:0045892	alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of DNA-templated transcription [GO:0045892]	cytosol [GO:0005829]	alanine-tRNA ligase activity [GO:0004813]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]
lamB ompS VC_A1028	GO:0006811; GO:0009279; GO:0015144; GO:0015288; GO:0015481; GO:0015774; GO:0042958; GO:0046930	monoatomic ion transport [GO:0006811]; polysaccharide transport [GO:0015774]	cell outer membrane [GO:0009279]; pore complex [GO:0046930]	carbohydrate transmembrane transporter activity [GO:0015144]; maltodextrin transmembrane transporter activity [GO:0042958]; maltose transporting porin activity [GO:0015481]; porin activity [GO:0015288]
