Model,Program,Program_number,Program_label,Time,Strength,Signed_mean,Relative_strength
VAE,VAE7,7,VAE 7,6h,0.0250683575868606,-0.0099698503812154,0.452613634362373
VAE,VAE8,8,VAE 8,12h,0.015354244659344317,-0.008916476120551417,0.6920667225325844
VAE,VAE8,8,VAE 8,1h,0.022186075647671957,0.022186075647671957,1.0
VAE,VAE8,8,VAE 8,24h,0.0193541763971249,-0.0193541763971249,0.8723569100043064
VAE,VAE8,8,VAE 8,3h,0.016396551082531567,0.010508079081773735,0.7390469293857339
VAE,VAE8,8,VAE 8,6h,0.018166385591030083,-0.005402050912380216,0.8188192395772493
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,12h,0.043856535417338166,0.043856535417338166,0.8265069310185409
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,1h,0.05306251378109053,-0.05306251378109053,1.0
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,24h,0.03882429205502069,0.03882429205502069,0.7316708027665323
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,3h,0.044163057270149346,-0.044163057270149346,0.8322835486525213
weighted_CPVAE,CPVAE1,1,weighted CPVAE 1,6h,0.008788380810680426,0.008788380810680426,0.16562315247515227
weighted_CPVAE,CPVAE2,2,weighted CPVAE 2,12h,0.002214629565059975,0.0018723289764844917,0.042892232059981855
weighted_CPVAE,CPVAE2,2,weighted CPVAE 2,1h,0.05163241591071705,-0.043651935741460535,1.0
weighted_CPVAE,CPVAE2,2,weighted CPVAE 2,24h,0.01122482832094339,0.009489881078479775,0.21739885928160715
weighted_CPVAE,CPVAE2,2,weighted CPVAE 2,3h,0.030356101672320265,-0.02566416047435872,0.5879271991613203
weighted_CPVAE,CPVAE2,2,weighted CPVAE 2,6h,0.017892421460904435,-0.015126908668510885,0.34653465551261575
weighted_CPVAE,CPVAE3,3,weighted CPVAE 3,12h,0.013512856518597448,-0.0024439746315086334,0.22812512449871247
weighted_CPVAE,CPVAE3,3,weighted CPVAE 3,1h,0.0037524468498304014,-0.0006786784191111346,0.06334910783772699
weighted_CPVAE,CPVAE3,3,weighted CPVAE 3,24h,0.00014915822096855152,2.6977189691016146e-05,0.002518101015993697
weighted_CPVAE,CPVAE3,3,weighted CPVAE 3,3h,0.05923440720653158,-0.010713306236236023,1.0
weighted_CPVAE,CPVAE3,3,weighted CPVAE 3,6h,0.01825849396603488,-0.0033022840798366663,0.3082413554401466
