Model,Program,Program_number,Program_label,Space,Strength,Signed_mean,Relative_strength
CP,CP8,8,CP 8,SI4,0.08146122765899852,-0.07954052748317475,0.34468776572645526
CP,CP8,8,CP 8,SI5,0.01201659454845612,0.01173326619795992,0.05084594531138894
CP,CP8,8,CP 8,SI6,0.022146899152553877,-0.0216247175660656,0.09371041176322939
CP,CP8,8,CP 8,SI7,0.010975584720192841,-0.0107168013933556,0.04644110926711269
CP,CP8,8,CP 8,SI8,0.0160860312881221,-0.0157067533910011,0.06806499660573402
CP,CP8,8,CP 8,SI9,0.019951232189997222,-0.019480820237262622,0.08441986261055595
CP,CP8,8,CP 8,ce,0.01316635039571852,-0.01285591299811544,0.05571091955143806
CP,CP8,8,CP 8,co,0.002767560583891476,-0.002702306790733164,0.011710408762404412
CP,CP8,8,CP 8,st,0.19183636162140652,0.18731322657809454,0.8117192531049544
PCA,PC1,1,PCA 1,SI1,0.9647430626343626,0.9647430626343626,1.0
PCA,PC1,1,PCA 1,SI2,0.862909508912226,0.7886446038171273,0.8944448966089829
PCA,PC1,1,PCA 1,SI3,0.9441084194973197,0.6073086672478318,0.9786112552282085
PCA,PC1,1,PCA 1,SI4,0.8150920653793919,0.33925882741402646,0.8448799446701092
PCA,PC1,1,PCA 1,SI5,0.6890708837266848,-0.022404368701818368,0.714253266403474
PCA,PC1,1,PCA 1,SI6,0.5915996363841663,-0.5417559870988184,0.6132198916970937
PCA,PC1,1,PCA 1,SI7,0.6458274882392583,-0.5488110121396005,0.6694295230024647
PCA,PC1,1,PCA 1,SI8,0.5504111262197741,-0.5129691460972707,0.5705261302598035
PCA,PC1,1,PCA 1,SI9,0.5154340078863503,-0.5154340078863503,0.5342707585570892
PCA,PC1,1,PCA 1,ce,0.4001139120666154,-0.38522759877574064,0.4147362417658125
PCA,PC1,1,PCA 1,co,0.49100667176296275,-0.43390467261435184,0.5089507152528281
PCA,PC1,1,PCA 1,st,0.2605516322006027,0.2605516322006027,0.2700736002072209
PCA,PC2,2,PCA 2,SI1,0.6923671742779967,0.6923671742779967,1.0
PCA,PC2,2,PCA 2,SI2,0.5931003728887454,0.5404048089632572,0.8566269385997869
PCA,PC2,2,PCA 2,SI3,0.6486131898312715,0.44526723186435546,0.9368052298372579
PCA,PC2,2,PCA 2,SI4,0.41607323020462905,0.07231797684986492,0.6009430337862449
PCA,PC2,2,PCA 2,SI5,0.43526269849724253,-0.13825373781953193,0.6286587733613112
PCA,PC2,2,PCA 2,SI6,0.5013080105300456,-0.5013080105300456,0.7240493616018288
PCA,PC2,2,PCA 2,SI7,0.5023701481908389,-0.45324145404655364,0.7255834286406091
PCA,PC2,2,PCA 2,SI8,0.4629196396558446,-0.38228676936917505,0.6686042563161362
PCA,PC2,2,PCA 2,SI9,0.428901877906918,-0.36270982557668363,0.6194717107352449
PCA,PC2,2,PCA 2,ce,0.4753312196596237,-0.23997352046449386,0.6865305539005385
PCA,PC2,2,PCA 2,co,0.4605464473497577,-0.20580111432309756,0.6651766063722149
PCA,PC2,2,PCA 2,st,0.5397115981430618,0.5332172401741065,0.7795164447330641
PCA,PC3,3,PCA 3,SI1,0.6853942604590956,0.6853942604590956,1.0
